630 S Peck Dr;;2100 Main St;;13;;6.4;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1023072,-105.1024191,-105.101597,-105.1016003,-105.1020602;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885625,40.1955932,40.19585259999999,40.1960863,40.1962191
630 S Peck Dr;;420 Kimbark St;;11;;5.4;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.1012068;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1665384
630 S Peck Dr;;9595 Nelson Rd;;5;;2.0;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1287152,-105.1288232;;40.1509225,40.150831,40.1508417,40.1525036,40.1523489,40.1537956
630 S Peck Dr;;1030 Boston Ave St;;10;;3.6;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.1073101,-105.1068153,-105.1091401,-105.1090338;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1523428,40.1578155,40.1579704,40.1581774
630 S Peck Dr;;1240 Kimbark St;;11;;5.4;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1025006,-105.1023976,-105.1011329,-105.1011222;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739277,40.1812696,40.1812627,40.1807303
630 S Peck Dr;;717 5th Ave;;10;;4.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1544874,-105.1306322,-105.1109321,-105.1069057,-105.106854,-105.1047348;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.15801520000001,40.1596625,40.1587348,40.1607136,40.1673739,40.1673733
630 S Peck Dr;;10595 Butte Dr;;18;;9.8;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-104.9890146,-104.9896614,-104.9891684,-104.9892269;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1606519,40.15584,40.1558162,40.1554135
630 S Peck Dr;;900 S Main St;;10;;3.8;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.1029356,-105.102511,-105.1009675,-105.1009578,-105.1017852;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1523888,40.1479752,40.1482872,40.1486378,40.1486331
630 S Peck Dr;;879 Neon Forest Circle;;10;;4.2;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1307456,-105.1308769,-105.1075307,-105.1075349,-105.1087932;;40.1509225,40.150831,40.1508417,40.1525036,40.15233449999999,40.1379077,40.1379515,40.1368421,40.1360796
630 S Peck Dr;;2122 Hackberry Circle;;11;;5.4;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1309458,-105.1309246,-105.1226534,-105.1219625;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885868,40.1958882,40.195877,40.1977532
